"total_score","google_trends","school_age","hours_worked","iq","rain","fertility","gdp","population","age_dependency","agriculture"
62,19,6,43,81.75,1485,16.585,13019689336.6919,2873457,46.723001108545,19.0221488477376
75,54,6,NA,76,89,12.872,170097014589.134,41136546,54.679122352021,11.7559033143154
139,8,6,34,86.63,591,57.783,643628665302.155,44044811,55.6112391046053,5.23162237725058
163,14,6,39,88.82,562,21.379,11527458565.7334,2851923,45.5931114016472,14.9942601242776
162,25,5,32,99.24,534,10.43,1326516328531.56,24594202,52.1351605320815,2.70322055368689
118,8,6,33,98.38,1110,6.991,417261151844.977,8797566,49.2868816392703,1.21053643138638
157,21,6,34,84.81,447,47.11,40865558912.3867,9854033,43.696136914224,5.60736901068842
115,20,6,51,74.33,2666,78.29,293754646182.389,161793964,51.2917590885276,12.9572760433733
160,45,6,35,101.6,618,12.936,54726595249.1849,9458989,47.4927988221769,7.56580253848292
94,6,6,34,97.49,847,6.075,502764720556.354,11375158,55.1049974754027,0.665093660241847
57,18,6,40,76.53,1146,68.203,37508642165.3366,11435533,59.499678295677,11.5893359419581
154,9,6,42,88.54,1028,10.836,18080118186.009,3440027,45.1696445903632,5.60185848417113
17,24,6,46,69.45,416,44.219,16105182316.3307,2401840,59.1012367268801,1.8419939490754
173,12,7,39,83.38,1761,55.566,2063507864886.88,208504960,43.2170324672364,4.60059169424122
177,15,7,39,90.99,608,38.398,59199447421.4924,7075947,54.5804973701894,4.04090723942437
178,16,6,NA,99.52,537,8.054,1649265644244.09,36545236,49.1480556230312,1.88999463244888
27,12,6,38,87.89,1522,27.979,276364933679.626,18368577,44.9901585338015,4.280971613795
252,18,6,NA,104.1,645,14.901,12310409370892.8,1396215000,41.5448916778932,7.46356501656963
74,14,6,46,83.13,3240,66.226,311883730442.045,48351671,44.9916155162832,6.38966355268118
92,9,6,42,88.34,2926,53.783,60516043590.1832,4993842,45.2233978173925,4.69977633159901
157,11,7,38,95.75,1113,9.557,56323836169.7177,4124531,52.5979558803126,2.88765227737272
13,12,6,NA,83.9,1335,51.207,9.6851e+10,11336405,44.8379191921257,3.80068352417631
85,15,6,38,93.39,498,6.608,22946726163.5789,1208523,41.5483703214381,1.85202251900584
122,10,6,NA,94.92,677,NA,NA,NA,NA,NA
121,11,6,34,97.83,703,2.893,332121063806.391,5764980,56.0775002605813,1.30480035996571
26,14,6,39,82.05,1410,87.909,79997975621.8654,10647244,53.4289805960811,5.34266664299661
27,22,6,38,78.26,2274,72.683,104295862000,16696944,53.9909637790288,9.32925891153764
56,14,7,45,69.63,1784,61.531,24979190000,6266654,53.6633079722974,5.39300914080881
124,8,7,37,100.72,626,9.813,26924385103.0659,1317384,55.6303618978313,2.38620546594402
101,5,7,35,101.2,536,4.856,255647979916.471,5508214,59.6016141505615,2.31594204179389
158,11,6,35,96.69,867,7.288,2595151045197.65,66918020,60.9905707063264,1.54241477388973
121,13,6,43,84.5,1026,38.814,16242916915.7203,3728004,52.2179163725137,6.24018684251845
192,7,6,34,100.74,700,8.618,3690849152517.65,82657002,53.1441792669349,0.851748919550925
18,17,6,41,58.16,1187,65.897,60406382898.5174,30222262,71.3243931973547,19.5617097174459
163,22,6,38,90.77,652,8.368,199844406013.531,10754679,55.7405463173611,3.85638896453125
31,15,6,43,62.16,1976,75.341,23136232229.6069,9626842,57.6987045298292,12.6697681094878
173,15,NA,44,105.37,NA,NA,NA,NA,NA,NA
158,12,7,38,99.24,589,23.913,143112196040.326,9787966,50.0075249226665,3.75419763895675
51,8,6,36,98.26,1940,6.047,24728285177.4603,343400,50.530187132606,3.78159470622146
165,30,6,NA,76.24,1083,20.42,2651472946375.05,1354195680,50.6848281757911,16.5583314047019
151,19,7,39,78.49,2702,36.012,1015618742565.81,264498852,48.7708005331901,13.1566308462661
191,91,NA,43,80.01,228,NA,NA,NA,NA,NA
84,12,5,35,95.13,1118,6.603,336377500160.546,4807388,53.0150800153035,1.17796786558082
188,17,6,34,92.43,435,8.724,358245427458.541,8713300,65.5842835462436,1.43197431571349
188,8,6,35,94.23,832,4.438,1961796197354.36,60536709,56.1404123723785,1.97268467311393
191,5,6,37,106.48,1668,3.29,4930837369151.42,126972000,69.1046952403685,1.12844054943922
174,28,7,38,88.89,250,24.787,166805800595.704,18037776,54.7252297811423,4.51698454026741
55,11,NA,NA,NA,NA,9.341,7180813375.50836,1791003,49.524253193978,7.40871957581394
73,45,NA,37,79.09,533,NA,NA,NA,NA,NA
94,10,7,39,94.79,667,14.152,30483806017.8318,1942248,55.9798007054334,3.55239259613126
12,5,7,NA,101.07,NA,3.136,6474256118.61481,37889,46.9249263223205,0.134897728698707
129,10,7,39,95.89,656,12.459,47758736931.7801,2828403,52.6852691585153,3.50751154955695
26,8,6,36,99.87,934,4.602,65712180342.9836,596336,43.8125509451071,0.23457255011554
127,12,NA,NA,99.82,NA,NA,NA,NA,NA,NA
137,16,6,44,87.58,2875,10.054,319112175611.571,31975806,44.1531729624063,8.59827589976026
42,20,6,NA,59.76,92,81.04,6800141921.64137,4160015,87.6985716915547,22.7187385736647
167,22,6,44,87.73,758,63.587,1158913035796.37,122839258,51.7192717060437,3.38107388194982
135,21,7,39,89.98,450,33.112,9669741744.22001,2755189,45.2938822024303,11.4722579451327
162,13,6,43,91.03,241,32.998,11480847745.3187,3096030,52.3956301862497,11.1372332714761
23,9,6,43,85.78,NA,10.391,4856632399.45775,622373,49.4992853797096,6.85389074108922
82,28,6,NA,67.03,346,27.859,118540548906.314,35528115,51.4534935520359,11.1602887992375
27,21,5,NA,42.99,1500,70.165,28971589213.2184,28183426,60.7993231045902,23.6995484588283
145,5,6,30,100.74,778,2.762,833869641687.06,17131296,53.2778991869191,1.85559496359799
108,28,5,NA,98.57,1732,15.487,206623758800.159,4813600,52.9001670161788,5.91291729137151
148,10,6,38,81.91,619,15.993,11307058382.3435,2074502,43.0333944215306,7.87324504211252
103,9,6,33,97.13,1414,3.08,398393955268.99,5276968,52.8243424560298,1.97646281978842
19,25,6,NA,78.7,125,15.674,80856697009.1027,4541854,33.1126051021105,1.98459925247834
54,24,5,49,80,494,45.803,339205615769.187,216379655,72.7431013557753,21.9632035366872
14,26,NA,38,77.69,402,NA,NA,NA,NA,NA
42,14,6,40,79,2928,78.616,62202700000,4096063,54.4341448039139,2.3847051655314
59,9,6,41,84.04,1130,73.784,38997129473.5558,6355404,55.5393078340096,10.5267434029776
173,18,6,NA,81.44,1738,60.209,211007207483.515,31605486,55.9172767597884,6.77975956010925
119,21,6,36,81.64,2348,50.202,328480867142.69,106738501,58.0802678131226,10.1829541314109
183,16,7,39,96.35,600,11.378,524645833884.582,37974826,46.5658885677311,3.01034802405091
137,14,6,38,92.77,854,7.847,221357874718.93,10300300,54.4854905603865,2.09586857603127
40,14,6,NA,81.99,2054,26.964,103445526000,3325286,53.7452117687039,0.818676005378908
194,22,7,40,86.88,637,38.65,210146748920.419,19588715,50.2062461679175,4.43884752783431
34,12,7,31,69.95,1212,34.437,9252834120.39358,12230339,76.9619186481005,26.3454555710159
168,35,6,NA,76.36,59,12.179,688586094412.68,34193122,40.8833614147271,2.52847305795157
153,13,7,39,89.6,NA,14.763,44179055279.8887,7020858,51.6739124235566,6.01415375732373
165,14,6,NA,105.89,2497,2.275,343193352161.634,5612253,29.3142574984257,0.0307649651615256
136,9,NA,37,96.32,824,NA,NA,NA,NA,NA
79,12,6,39,98.6,1162,4.182,48589100043.0954,2066388,51.0796952945245,1.83972417134003
94,20,7,NA,68.87,495,63.706,381448814653.456,56641209,52.2612995488199,2.49379863849766
208,14,NA,38,102.35,1274,NA,NA,NA,NA,NA
139,9,6,35,93.9,636,6.932,1313245330197.65,46593236,51.6911970553832,2.787029932249
77,21,5,44,86.62,1712,16.073,94376246466.9549,21444000,52.006544418743,7.43067877940601
106,8,7,35,97,624,4.316,541018749769.097,10057698,59.8150488071827,1.44353822862843
145,8,7,36,99.24,1537,2.557,695200833086.499,8451840,49.5017898278486,0.631333510334041
82,23,NA,NA,74.41,252,NA,NA,NA,NA,NA
