Time,Time Code,Country Name,Country Code,"Government expenditure on education, US$ (millions) [UIS.X.US.FSGOV]",Teaching staff compensation as a percentage of total expenditure in public institutions (%) [UIS.XSPENDP.FDPUB.FNTS],Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience [OECD.TSAL.1.E10]
2015,YR2015,Afghanistan,AFG,648.13575,61.02597,..
2015,YR2015,Albania,ALB,391.47614,77.9451,..
2015,YR2015,Algeria,DZA,..,..,..
2015,YR2015,American Samoa,ASM,..,..,..
2015,YR2015,Andorra,AND,91.51744,..,..
2015,YR2015,Angola,AGO,..,..,..
2015,YR2015,Antigua and Barbuda,ATG,..,..,..
2015,YR2015,Arab World,ARB,..,..,..
2015,YR2015,Argentina,ARG,34353.38171,60.04322,..
2015,YR2015,Armenia,ARM,296.11674,..,..
2015,YR2015,Aruba,ABW,174.46398,93.09119,..
2015,YR2015,Australia,AUS,71792.18446,46.60214,59361.4526260386
2015,YR2015,Austria,AUT,20834.1936,59.06569,39973.0210349239
2015,YR2015,Azerbaijan,AZE,1566.58764,..,..
2015,YR2015,"Bahamas, The",BHS,..,..,..
2015,YR2015,Bahrain,BHR,830.4628,..,..
2015,YR2015,Bangladesh,BGD,..,..,..
2015,YR2015,Barbados,BRB,..,..,..
2015,YR2015,Belarus,BLR,2702.7836,..,..
2015,YR2015,Belgium,BEL,29815.92584,60.6681,..
2015,YR2015,Belize,BLZ,114.54848,..,..
2015,YR2015,Benin,BEN,361.3441,60.01242,..
2015,YR2015,Bermuda,BMU,96.31472,..,..
2015,YR2015,Bhutan,BTN,144.75006,..,..
2015,YR2015,Bolivia,BOL,..,..,..
2015,YR2015,Bosnia and Herzegovina,BIH,..,..,..
2015,YR2015,Botswana,BWA,..,..,..
2015,YR2015,Brazil,BRA,112477.25841,..,..
2015,YR2015,British Virgin Islands,VGB,..,..,..
2015,YR2015,Brunei Darussalam,BRN,..,..,..
2015,YR2015,Bulgaria,BGR,..,..,..
2015,YR2015,Burkina Faso,BFA,434.25034,..,..
2015,YR2015,Burundi,BDI,197.76661,..,..
2015,YR2015,Cabo Verde,CPV,84.10203,..,..
2015,YR2015,Cambodia,KHM,..,..,..
2015,YR2015,Cameroon,CMR,856.12142,..,..
2015,YR2015,Canada,CAN,..,..,63382.8673973498
2015,YR2015,Caribbean small states,CSS,..,..,..
2015,YR2015,Cayman Islands,CYM,..,..,..
2015,YR2015,Central African Republic,CAF,..,..,..
2015,YR2015,Central Europe and the Baltics,CEB,..,..,..
2015,YR2015,Chad,TCD,..,..,..
2015,YR2015,Channel Islands,CHI,..,..,..
2015,YR2015,Chile,CHL,11891.8011,..,24641.2147979319
2015,YR2015,China,CHN,..,..,..
2015,YR2015,Colombia,COL,13119.77301,63.67751,32686.0296445352
2015,YR2015,Comoros,COM,24.58601,..,..
2015,YR2015,"Congo, Dem. Rep.",COD,779.38403,..,..
2015,YR2015,"Congo, Rep.",COG,390.30682,..,..
2015,YR2015,Costa Rica,CRI,3879.53311,..,29871.662366478
2015,YR2015,Cote d'Ivoire,CIV,1600.83623,57.30047,..
2015,YR2015,Croatia,HRV,..,69.27053,..
2015,YR2015,Cuba,CUB,..,..,..
2015,YR2015,Curacao,CUW,..,..,..
2015,YR2015,Cyprus,CYP,1255.25574,74.42797,..
2015,YR2015,Czech Republic,CZE,10815.31409,24.73899,18490.7505794131
2015,YR2015,Denmark,DNK,..,..,52177.563217989
2015,YR2015,Djibouti,DJI,87.25321,..,..
2015,YR2015,Dominica,DMA,17.73169,..,..
2015,YR2015,Dominican Republic,DOM,..,..,..
2015,YR2015,Early-demographic dividend,EAR,..,..,..
2015,YR2015,East Asia & Pacific,EAS,..,..,..
2015,YR2015,East Asia & Pacific (excluding high income),EAP,..,..,..
2015,YR2015,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..
2015,YR2015,Ecuador,ECU,4963.22364,..,..
2015,YR2015,"Egypt, Arab Rep.",EGY,..,..,..
