"country","total_score","rain","labor","temp","weeklyHours","spending","iq","googleall","google5y","google1y","happiness2021","growthRate","pop2023","area","landAreaKm","density"
"Albania",62,1485,NA,11.4,43,2.5e+08,81.75,19,18,18,5.117,-0.00348,2832439,28748,27400,103.3737
"Algeria",75,89,NA,22.5,NA,1.3e+10,76,54,62,55,4.887,0.01566,45606480,2381741,2381741,19.1484
"Argentina",139,591,1691.54,14.8,34,4.2e+09,86.63,8,7,5,5.929,0.00579,45773884,2780400,2736690,16.726
"Armenia",163,562,NA,7.15,39,1.385e+09,88.82,14,15,14,5.283,-9e-04,2777970,29743,28470,97.5753
"Australia",162,534,1613.05,21.65,32,2.63e+10,99.24,25,17,10,7.183,0.01,26439111,7692024,7692020,3.4372
"Austria",118,1110,1731.49,6.35,33,3.38e+09,98.38,8,7,6,7.268,0.00216,8958960,83871,82520,108.5671
"Azerbaijan",157,447,NA,11.95,34,2.805e+09,84.81,21,25,24,5.171,0.00527,10412651,86600,82646,125.991
"Bangladesh",115,2666,2232.35,25,51,3.8e+09,74.33,20,21,15,5.025,0.01033,172954319,147570,130170,1328.6803
"Belarus",160,618,NA,6.15,35,623.7,101.6,45,55,54,5.534,-0.00385,9498238,207600,202980,46.794
"Belgium",94,847,1544.27,9.55,34,4.921e+09,97.49,6,5,4,6.834,0.00259,11686140,30528,30280,385.9359
"Bolivia",57,1146,NA,21.55,40,6.6e+08,76.53,18,18,16,5.716,0.01345,12388571,1098581,1083300,11.436
"Bosnia and Herzegovina",154,1028,NA,9.85,42,1.65e+08,88.54,9,7,5,5.813,-0.00701,3210847,51209,51200,62.7119
"Botswana",17,416,NA,21.5,46,4.5e+08,69.45,24,21,17,3.467,0.01713,2675352,582000,566730,4.7207
"Brazil",173,1761,1709.49,24.95,39,2.78e+10,83.38,12,8,7,6.33,0.00515,216422446,8515767,8358140,25.8936
"Bulgaria",177,608,1643.55,10.55,39,1.079e+09,90.99,15,13,10,5.266,-0.0139,6687717,110879,108560,61.6039
"Canada",178,537,1696.46,-5.1,NA,2.25e+10,99.52,16,12,9,7.103,0.0085,38781291,9984670,8965590,4.3256
"Chile",27,1522,1974,8.45,38,4.25e+09,87.89,12,8,6,6.172,0.00132,19629590,756102,743532,26.4005
"China",252,645,2174.35,7.5,NA,2.37e+11,104.1,18,17,13,5.339,-0.00015,1425671352,9706961,9424702.9,151.2696
"Colombia",74,3240,1997.75,24.5,46,1.06e+10,83.13,14,12,8,6.012,0.00407,52085168,1141748,1109500,46.9447
"Costa Rica",92,2926,2212.38,24.8,42,NA,88.34,9,8,6,7.069,0.00605,5212173,51100,51060,102.0794
"Croatia",157,1113,1834.93,10.9,38,8e+08,95.75,11,9,6,5.882,-0.00539,4008617,56594,55960,71.6336
"Cuba",13,1335,NA,25.2,NA,5e+08,83.9,12,9,6,NA,NA,NA,NA,NA,NA
"Cyprus",85,498,1783.52,18.45,38,NA,93.39,15,12,10,6.223,0.00691,1260138,9251,9240,136.3786
"Czech Republic",122,677,1776.16,7.55,NA,2.969e+09,94.92,10,8,7,6.965,0.00013,10495295,78865,77198.5,135.9521
"Denmark",121,703,1400.38,NA,34,4.76e+09,97.83,11,9,7,7.62,0.00487,5910913,43094,40000,147.7728
"Dominican Republic",26,1410,NA,24.55,39,7.6e+08,82.05,14,12,9,5.545,0.00928,11332972,48671,48310,234.5885
"Ecuador",27,2274,1701.36,21.85,38,2.5e+09,78.26,22,21,17,5.764,0.01053,18190484,276841,248360,73.2424
"El Salvador",56,1784,NA,24.45,45,1.67e+08,69.63,14,11,10,6.061,0.00451,6364943,21041,20720,307.1884
"Estonia",124,626,1856.68,2,37,6.85e+08,100.72,8,7,5,6.189,-0.00249,1322765,45227,42750,30.9419
"Finland",101,536,1659.28,1.55,35,3.57e+09,101.2,5,5,4,7.842,0.00085,5545475,338424,303940,18.2453
"France",158,867,1514.14,10.7,35,4.15e+10,96.69,11,8,7,6.69,0.00201,64756584,551695,547557,118.2646
"Georgia",121,1026,NA,5.65,43,3.27e+08,84.5,13,13,12,4.891,-0.0043,3728282,69700,69490,53.6521
"Germany",192,700,1353.89,8.4,34,5e+10,100.74,7,6,5,7.155,-9e-04,83294633,357114,349390,238.4002
"Ghana",18,1187,NA,27.2,41,7.1e+08,58.16,17,15,13,5.088,0.0193,34121985,238533,227533,149.965
"Greece",163,652,2016.9,15.4,38,4.844e+09,90.77,22,22,19,5.723,-0.00421,10341277,131990,128900,80.2271
"Honduras",31,1976,NA,23.5,43,2.05e+08,62.16,15,13,12,5.919,0.01543,10593798,112492,111890,94.6805
"Hong Kong",173,NA,2185.58,21.45,44,NA,105.37,15,14,13,5.477,0.00037,7491609,1104,1050,7134.8657
"Hungary",158,589,1937.33,9.75,38,2.08e+09,99.24,12,10,9,5.992,0.01896,10156239,93028,91260,111.2891
"Iceland",51,1940,1493.37,-0.7,36,NA,98.26,8,5,5,7.554,0.00649,375318,103000,100830,3.7223
"India",165,1083,2117.01,23.65,NA,6.1e+10,76.24,30,30,28,3.819,0.00808,1428627663,3287590,2973190,480.5033
"Indonesia",151,2702,2024.29,25.85,39,7.6e+09,78.49,19,19,16,5.345,0.00738,277534122,1904569,1877519,147.8196
"Iran",191,228,NA,17.25,43,1.96e+10,80.01,91,94,100,4.721,0.00703,89172767,1648195,1622500,54.9601
"Ireland",84,1118,1745.68,9.3,35,8.7e+08,95.13,12,10,8,7.085,0.00673,5056935,70273,68890,73.4059
"Israel",188,435,1920.61,19.2,34,2e+10,92.43,17,14,12,7.157,0.01507,9174520,20770,21640,423.9612
"Italy",188,832,1722.61,13.45,35,2.78e+10,94.23,8,6,5,6.483,-0.00282,58870762,301336,295717,199.078
"Japan",191,1668,1738.36,11.15,37,4.9e+10,106.48,5,5,4,5.94,-0.0053,123294513,377930,364500,338.2566
"Kazakhstan",174,250,NA,5.5,38,4e+09,88.89,28,32,41,6.152,0.01076,19606633,2724900,2699700,7.2625
"Kosovo",55,NA,NA,NA,NA,NA,NA,11,10,8,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",73,533,NA,2.1,37,2e+07,79.09,45,46,45,5.744,0.01579,6735347,199951,191800,35.1165
"Latvia",94,667,1874.6,5.6,39,7.24e+08,94.79,10,8,6,6.032,-0.01105,1830211,64559,62230,29.4104
"Liechtenstein",12,NA,NA,5.8,NA,NA,101.07,5,5,4,NA,NA,NA,NA,NA,NA
"Lithuania",129,656,1844.02,6.2,39,1.107e+09,95.89,10,8,8,6.255,-0.01153,2718352,65300,62620,43.4103
"Luxembourg",26,934,1518.86,8.65,36,NA,99.87,8,7,5,7.324,0.01107,654768,2586,2574.5,254.3282
"Macau",127,NA,NA,NA,NA,NA,99.82,12,11,11,NA,NA,NA,NA,NA,NA
"Malaysia",137,2875,2238.27,25.4,44,4e+09,87.58,16,15,12,5.384,0.01091,34308525,330803,328550,104.4241
"Mauritania",42,92,NA,27.65,NA,50250000,59.76,20,17,14,4.227,0.02678,4862989,1030700,1030700,4.7181
"Mexico",167,758,2255,21,44,7e+09,87.73,22,23,17,6.317,0.00746,128455567,1964375,1943950,66.0797
"Moldova",135,450,NA,9.45,39,3e+07,89.98,21,22,18,5.766,0.04978,3435931,33846,32884.6,104.4845
"Mongolia",162,241,NA,1.7,43,1.55e+08,91.03,13,11,10,5.677,0.01436,3447157,1564110,1557506.8,2.2133
"Montenegro",23,NA,NA,10.55,43,6.5e+07,85.78,9,7,5,5.581,-0.00095,626485,13812,13450,46.5788
"Morocco",82,346,NA,17.1,NA,1e+10,67.03,28,28,25,4.918,0.0102,37840044,446550,446300,84.7861
"Nepal",27,1500,NA,8.1,NA,2.13e+08,42.99,21,20,17,5.269,0.01143,30896590,147181,143350,215.5325
"Netherlands",145,778,1430.02,9.25,30,1.2419e+10,100.74,5,4,3,7.464,0.00309,17618299,41850,33670,523.264
"New Zealand",108,1732,1752,10.55,NA,4.3e+09,98.57,28,16,11,7.277,0.00826,5228100,270467,263310,19.8553
"North Macedonia",148,619,NA,9.8,38,108150000,81.91,10,9,7,5.101,-0.00378,2085679,25713,25220,82.6994
"Norway",103,1414,1417.47,NA,33,7.179e+09,97.13,9,8,6,7.392,0.00737,5474360,323802,364285,15.0277
"Oman",19,125,NA,25.6,NA,8.686e+09,78.7,25,21,22,NA,NA,NA,NA,NA,NA
"Pakistan",54,494,2096.14,20.2,49,1.14e+10,80,24,27,26,4.934,0.01976,240485658,881912,770880,311.9625
"Palestine",14,402,NA,NA,38,NA,77.69,26,28,22,NA,NA,NA,NA,NA,NA
"Panama",42,2928,NA,25.4,40,5e+08,79,14,11,10,6.18,0.0135,4468087,75417,74180,60.233
"Paraguay",59,1130,NA,23.55,41,2.5e+08,84.04,9,8,7,5.653,0.01191,6861524,406752,397300,17.2704
"Peru",173,1738,1932.46,19.6,NA,2.56e+09,81.44,18,16,14,5.84,0.0089,34352719,1285216,1280000,26.8381
"Philippines",119,2348,2148.56,25.55,36,3.47e+09,81.64,21,21,18,5.88,0.01539,117337368,342353,298170,393.5251
"Poland",183,600,2028.5,7.85,39,1.2e+10,96.35,16,14,13,6.166,0.02933,41026067,312679,306130,134.0152
"Portugal",137,854,1863.17,15.15,38,3.358e+09,92.77,14,10,8,5.929,-0.00227,10247605,92090,91605.6,111.8666
"Puerto Rico",40,2054,NA,NA,NA,NA,81.99,14,8,6,NA,NA,NA,NA,NA,NA
"Romania",194,637,1806,8.8,40,5.05e+09,86.88,22,19,15,6.14,0.01188,19892812,238391,230080,86.4604
"Rwanda",34,1212,NA,17.85,31,NA,69.95,12,13,12,3.415,0.02308,14094683,26338,24670,571.3289
"Saudi Arabia",168,59,NA,24.65,NA,6.76e+10,76.36,35,23,18,6.494,0.01478,36947025,2149690,2149690,17.1871
"Serbia",153,NA,NA,10.55,39,9.07e+08,89.6,13,10,8,6.078,-0.01001,7149077,88361,87460,81.7411
"Singapore",165,2497,2237.73,26.45,NA,1.12e+10,105.89,14,12,9,6.377,0.00653,6014723,710,718,8377.0515
"Slovakia",136,824,1745.23,6.8,37,2.122e+09,96.32,9,7,7,6.331,0.02689,5795199,49037,49035,118.1849
"Slovenia",79,1162,1655.09,8.9,39,5.81e+08,98.6,12,9,6,6.461,-8e-05,2119675,20273,20136.4,105.2658
